"MODEL           ","                "
"MAQUINA         ","MC#01   "
"FICHERO         ","FILE020"
"MODO            ","Z   "
"CONTADOR ZETAS  ","0110"
"FECHA           ","2018-12-09"
"HORA            ","12:18"

"REGISTRO        ","DESCRIPTOR      ","IMPORTE         "
"0001","GT          ","54,888,274"
"0002","            ","0"
"0003","            ","0"
"0004","LAST GT     ","54,229,174"
