"MODEL           ","                "
"MAQUINA         ","MC#01   "
"FICHERO         ","FILE020"
"MODO            ","Z   "
"CONTADOR ZETAS  ","0107"
"FECHA           ","2018-12-05"
"HORA            ","17:03"

"REGISTRO        ","DESCRIPTOR      ","IMPORTE         "
"0001","GT          ","52,890,274"
"0002","            ","0"
"0003","            ","0"
"0004","LAST GT     ","51,715,924"
