"MODEL           ","                "
"MAQUINA         ","MC#01   "
"INFORME         ","PLU         "
"FICHERO         ","FILE004"
"MODO            ","X   "
"CONTADOR ZETAS  ","0000"
"FECHA           ","2018-12-07"
"HORA            ","17:00"

"REGISTRO        ","DESCRIPTOR      ","CANTIDAD        ","IMPORTE         "
"0150","R23         ","0","0"
"0151","R25         ","0","0"
"0152","R35         ","0","0"
"0153","PIZZA       ","0","0"
"0154","BOLSA CUB   ","0","0"
"0155","BOLSA 1/2   ","7","5,600"
"0156","BOLSA 1LB   ","21","23,100"
"0157","BOLA 6X11   ","2","3,200"
"0158","BOLSA 6X14  ","0","0"
"0159","BOLSA 6X16  ","0","0"
"0160","BOLSA 7X10  ","1","1,600"
"0161","BOLSA 7X12  ","0","0"
"0162","BOLSA 7X14  ","0","0"
"0163","BOLSA 7X16  ","0","0"
"0164","BOLSA 8X12  ","0","0"
"0165","BOLSA 8X14  ","0","0"
"0166","BOLSA 8X16  ","0","0"
"0167","BOLSA 9X14  ","0","0"
"0168","BOLSA 10X16 ","0","0"
"0169","BOLSA 12X16 ","0","0"
"0170","BOLSA 12X18 ","0","0"
"0171","BOLSA 14X20 ","0","0"
"0172","BOLSA 16X24 ","0","0"
"0173","LECHOSA 1/2 ","0","0"
"0174","LECHOSA 1LB ","0","0"
"0175","LECHOSA7X10 ","1","1,800"
"0176","LECHOSA 8X12","0","0"
"0177","LECHOSA 9X14","1","2,500"
"0178","LECHOSA10X16","0","0"
"0179","LECHOSA12X16","0","0"
"0180","LECHOSA12X18","0","0"
"0181","LECHOSA14X20","1","5,000"
"0182","LECHOSA16X24","0","0"
"0183","CLB  5X9    ","3","7,500"
"0184","CLB 6X11    ","0","0"
"0185","CLB 12X18   ","0","0"
"0186","CH 4X3      ","1","2,400"
"0187","CH 5X6      ","0","0"
"0188","CH 6X9      ","0","0"
"0189","CH 8X10     ","0","0"
"0190","CH 8X14     ","0","0"
"0191","CH 10X14    ","0","0"
"0192","CH 12X14    ","0","0"
"0193","CH 14X14    ","0","0"
"0194","CH 14X18    ","0","0"
"0195","CH 14X22    ","0","0"
"0196","CH 15X20    ","0","0"
"0197","CH 18X22    ","0","0"
"0198","CH 20X24    ","0","0"
"0199","CH 20X30    ","0","0"
"0200","CH 25X36    ","1","26,000"
"0201","CH 30X40    ","0","0"
"0202","KRAFT 1/2   ","0","0"
"0203","KRAFT 1     ","2","3,600"
"0204","KRAFT 2     ","0","0"
"0205","KRAFT 3     ","0","0"
"0206","KRAFT 4     ","0","0"
"0207","KRAFT 6     ","0","0"
"0208","KRAFT 12    ","0","0"
"0209","KRAFT 25    ","0","0"
"0210","TIPO DX7    ","0","0"
"0211","TIPO CX7    ","1","2,200"
"0212","TIPO A1X7   ","4","12,800"
"0213","TIPO AX7    ","0","0"
"0214","TIPO BX7    ","0","0"
"0215","TIPO EX7    ","0","0"
"0216","TIPO E2X7   ","3","24,000"
"0217","A1X7BLCA    ","0","0"
"0218","B1X7BLACA   ","0","0"
"0219","E2X7BLCA    ","2","17,000"
"0220","40X60X7     ","0","0"
"0221","65X85X7     ","0","0"
"0222","1X120X5NEG29","1","5,500"
"0223","1X120X25COLR","1","6,500"
"0224","C/ITATAMI100","1","1,800"
"0225","C/ITAROJA100","0","0"
"0226","C/ITAAZUL100","0","0"
"0227","TENE BCOX100","0","0"
"0228","TEN ROJOX100","0","0"
"0229","TEN AZULX100","0","0"
"0230","CU BLCAX100 ","0","0"
"0231","TENE BCOX100","0","0"
"0232","CU BCOX100  ","0","0"
"0233","TEN BCOX20  ","0","0"
"0234","CU BLCOX20  ","0","0"
"0235","CUCHA BCOX20","0","0"
"0236","C/ITACRISX20","0","0"
"0237","TEN CRISX100","0","0"
"0238","CU CRISX100 ","0","0"
"0239","CU CRISX100 ","0","0"
"0240","TEN CRISX20 ","0","0"
"0241","CU CRISX20  ","0","0"
"0242","CU CRISX20  ","0","0"
"0243","TEN COLORX20","0","0"
"0244","CU COLORX20 ","0","0"
"0245","CU COLORX20 ","0","0"
"0246","C/ITAPSMX100","11","25,300"
"0247","CU PSMX100  ","1","3,500"
"0248","TEN PSMX100 ","3","10,500"
